ror_id,display_name,acronyms,alt_names,types,city,status,established,created,modified,isni,fundref,wikidata_id,website,parents,children,related,predecessors,successors
035xba693,Krankenhaus Dresden-Friedrichstadt,,,healthcare,Dresden,active,1849,2018-11-14,2025-04-28,0000 0000 8578 5687,,,http://www.khdf.de/cms/index.php?id=2&amp;site=www&amp;lang=de,,,042aqky30,,
05xptf671,Kurt-Schwabe-Institut für Mess- und Sensortechnik Meinsberg,,,facility,Waldheim,active,1945,2018-11-14,2024-12-11,,,,http://www.ksi-meinsberg.de/,,,,,
01s776747,KVB Institut für Konstruktion und Verbundbauweisen,KVB,,facility,Döbeln,active,1994,2018-11-14,2024-12-11,,,,http://www.kvb-forschung.de/,,,,,
02kv9xm28,Landesamt für Archäologie Sachsen,,Archaeological Heritage Office in Saxony,archive,Dresden,active,1991,2018-11-14,2024-12-11,0000 0001 2152 2236,,,http://www.lfa.sachsen.de/,,,,,
056wznz27,Landesamt für Denkmalpflege Sachsen,LfD,,government,Dresden,active,,2018-11-14,2024-12-11,0000 0001 2375 0718,,Q1420476,http://www.denkmalpflege.sachsen.de/,,,,,
05y895e77,Landesuntersuchungsanstalt Sachsen,,,government,Dresden,active,,2018-11-14,2024-12-11,0000 0004 0636 2942,,,https://www.lua.sachsen.de/,,,,,
03p8xz723,Lausitzer Seenland Klinikum,,,healthcare,Hoyerswerda,active,1898,2019-12-18,2024-12-11,,,Q81654821,https://www.seenlandklinikum.de/,,,,,
04b55a558,Leag (Germany),,,company,Boxberg,active,2016,2019-11-07,2024-12-11,0000 0004 6326 7992,,Q27230613,https://www.leag.de,,,,,
03j1wg370,Leibniz Institute for Jewish History and Culture – Simon Dubnow,DI,Dubnow-Institut; Leibniz-Institut für jüdische Geschichte und Kultur – Simon Dubnow,other,Leipzig,active,1995,2019-05-06,2024-12-11,0000 0001 1086 6279,,,http://www.dubnow.de/institut/aktuelles/,01n6r0e97,,,,
02wt6e634,Leibniz Institute for Regional Geography,IfL,Leibniz-Institut für Länderkunde,facility,Leipzig,active,1896,2018-11-14,2024-12-11,0000 0001 1014 1323,,,http://www.ifl-leipzig.de/,01n6r0e97,,,,
04zb59n70,Leibniz Institute for Solid State and Materials Research,IFW,Leibniz IFW Dresden; Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden,facility,Dresden,active,1992,2018-11-14,2024-12-11,0000 0000 9972 3583,,Q835883,http://www.ifw-dresden.de/,01n6r0e97,,,,
04tjfqn96,Leibniz Institute for the History and Culture of Eastern Europe (GWZO),GWZO,Geisteswissenschaftliches Zentrum Geschichte und Kultur Ostmitteleuropas; Leibniz-Institut für Geschichte und Kultur des östlichen Europa (GWZO),other,Leipzig,active,1995,2019-05-06,2024-12-11,0000 0001 2168 0824,,,https://leibniz-gwzo.de/de,01n6r0e97,,,,
03a5xsc56,Leibniz Institute for Tropospheric Research,TROPOS,Leibniz-Institut für Troposphärenforschung,facility; funder,Leipzig,active,1992,2018-11-14,2024-12-11,0000 0000 8720 1454,501100015235,Q1607075,https://www.tropos.de/en/,01n6r0e97,,033zfn006,,
02t26g637,Leibniz Institute of Ecological Urban and Regional Development,IOER,Leibniz-Institut für ökologische Raumentwicklung,facility,Dresden,active,1992,2018-11-14,2024-12-11,0000 0001 2223 4009,,Q1813774,https://www.ioer.de,01n6r0e97,,,,
01tspta37,Leibniz Institute of Polymer Research,IPF,Leibniz-Institut für Polymerforschung Dresden,facility; funder,Dresden,active,1992,2018-11-14,2024-12-11,0000 0000 8583 7301,501100013224,,http://www.ipfdd.de/en/home/our-mission/,01n6r0e97,,,,
04vx4mk32,Leibniz Institute of Surface Engineering,IOM,Leibniz-Institut für Oberflächenmodifizierung,facility,Leipzig,active,1992,2018-11-14,2024-12-11,0000 0000 8788 0442,,,http://www.iom-leipzig.de/en/,01n6r0e97,,,,
02kj91m96,Leipzig Heart Institute,,,facility,Leipzig,active,2015,2018-11-14,2024-12-11,,,,http://leipzig-heart.de/,04fjkxc67,,,,
001dmmw97,Leipzig Research Centre Global Dynamics,,ReCentGlobe,education,Leipzig,active,2020,2024-07-08,2024-12-11,,,,https://recentglobe.uni-leipzig.de,,,,,
03s7gtk40,Leipzig University,,Universität Leipzig,education; funder,Leipzig,active,1409,2018-11-14,2025-05-05,0000 0004 7669 9786,501100008678; 501100019694,Q154804,https://www.uni-leipzig.de/en/,,05s928n76; 01t4ttr56,02sy3xj90; 02hcvme33; 04wkp4f46; 028hv5492; 01jty7g66,,
03xgcq477,Leipzig University of Applied Sciences,,"HTWK Leipzig; Hochschule für Technik, Wirtschaft und Kultur Leipzig",education,Leipzig,active,1992,2018-11-14,2024-12-11,0000 0001 2163 0667,,Q1622216,https://www.htwk-leipzig.de,,,,,
03mxqcg82,Leipzig/Halle Airport,,Flughafen Leipzig/Halle,other,Schkeuditz,active,1927,2018-11-14,2024-12-11,0000 0001 2196 5897,,Q668382,https://www.leipzig-halle-airport.de/en/,,,,,
02pc86x52,Leipziger Institut für Angewandte Weiterbildungsforschung,LIWF,,other,Leipzig,active,2002,2019-11-07,2024-12-11,,,,https://liwf.de/,,,,,
013e7et93,Leipziger Institut für Energie,,,facility,Leipzig,active,,2018-11-14,2024-12-11,,,,http://www.ie-leipzig.com/de,01jm19r53,,,,
01t4pzq33,Max Bergmann Zentrum für Biomaterialien,MBZ,,facility,Dresden,active,2002,2018-11-14,2024-12-11,0000 0004 4902 0627,,,http://www.mbc-dresden.de/,,,,,
01c997669,Max Planck Institute for Chemical Physics of Solids,,Max-Planck-Institut für Chemische Physik Fester Stoffe,facility,Dresden,active,1660,2018-11-14,2024-12-11,0000 0004 0491 351X,,,http://www.cpfs.mpg.de/en,01hhn8329,,,,
02a33b393,Max Planck Institute for Evolutionary Anthropology,,Max-Planck-Institut für Evolutionäre Anthropologie,facility; funder,Leipzig,active,1997,2018-11-14,2024-12-11,0000 0001 2159 1813,501100007768,Q682926,http://www.eva.mpg.de/index.html,01hhn8329,,,,
